WORD,MEANING,AoAtestbased,AoArating,LWV,CDI,Morr,Floc
nobody,not anyone,2,,4,#N/A,#N/A,#N/A
nobody,an unimportant person,6,,6,#N/A,#N/A,#N/A
noctambulism,sleep walking,13,,13,#N/A,#N/A,#N/A
nocturnal,at night,14,8.9,16,#N/A,#N/A,#N/A
nocturne,kind of music,14,11.2,16,#N/A,#N/A,#N/A
nod,bend or move head,2,5.4,4,#N/A,#N/A,#N/A
nod,"the ""go-ahead"" sign",2,5.4,4,#N/A,#N/A,#N/A
nod,grow sleepy,10,5.4,10,#N/A,#N/A,#N/A
nodded,bent or moved head,2,5.4,4,#N/A,#N/A,#N/A
noddle,head,13,8.1,13,#N/A,#N/A,#N/A
node,leaf joint of stem,12,12.2,12,#N/A,#N/A,#N/A
node,a gland,13,12.2,13,#N/A,#N/A,#N/A
node,centering point,13,12.2,13,#N/A,#N/A,#N/A
node,a difficulty,14,12.2,16,#N/A,#N/A,#N/A
node,a knot or knob,14,12.2,16,#N/A,#N/A,#N/A
nodule,a swelling,12,13.7,12,#N/A,#N/A,#N/A
Noel,Christmas,4,,4,#N/A,#N/A,#N/A
noel,a Christmas carol,4,,4,#N/A,#N/A,#N/A
noes,votes against,12,,12,#N/A,#N/A,#N/A
nog,alcoholic drink with egg,6,,6,#N/A,#N/A,#N/A
noggin,the head,8,7.7,8,#N/A,#N/A,#N/A
no-good,a worthless person,8,,8,#N/A,#N/A,#N/A
no-hitter,baseball term,6,,6,#N/A,#N/A,#N/A
nohow,not at all,8,,8,#N/A,#N/A,#N/A
noir,black,14,16.4,16,#N/A,#N/A,#N/A
noise,loud sound,2,4.3,4,#N/A,#N/A,#N/A
noiseabout,to spread the rumor,10,,10,#N/A,#N/A,#N/A
noiseless,without sound,4,9.8,4,#N/A,#N/A,#N/A
noisier,makes louder sounds,2,5.3,4,#N/A,#N/A,#N/A
noisiest,makes loudest sounds,2,5.3,4,#N/A,#N/A,#N/A
noisily,in a loud way,6,,6,#N/A,#N/A,#N/A
noisome,offensive,14,15.9,16,#N/A,#N/A,#N/A
noisy,makes loud sounds,2,5.3,4,28,#N/A,#N/A
nolens volens,whether willing or unwilling,13,,13,#N/A,#N/A,#N/A
nolle prosequi,an end to prosecution,14,,16,#N/A,#N/A,#N/A
nolo contendere,no contest,14,,16,#N/A,#N/A,#N/A
nom,name,12,12.2,12,#N/A,#N/A,#N/A
nom de guerre,assumed name,13,,13,#N/A,#N/A,#N/A
nom de plume,pen name,13,,13,#N/A,#N/A,#N/A
nomad,wanderer,6,10.9,6,#N/A,#N/A,#N/A
nomadic,wandering,8,11.2,8,#N/A,#N/A,7
nomen,name,13,,13,#N/A,#N/A,#N/A
nomenclature,system of names,12,14.3,12,#N/A,#N/A,#N/A
nominal,very small sum,12,11.2,12,#N/A,#N/A,#N/A
nominal,existing in name only,13,11.2,13,#N/A,#N/A,#N/A
nominalism,only particulars exist,14,,16,#N/A,#N/A,#N/A
nominally,only in name,13,,13,#N/A,#N/A,#N/A
nominate,put up for election,6,10.7,6,#N/A,#N/A,#N/A
nomination,putting up for election,6,11.7,6,#N/A,#N/A,#N/A
nomination,byname,14,11.7,16,#N/A,#N/A,#N/A
nominative,case in grammar,10,13.8,10,#N/A,#N/A,#N/A
nominee,person named,8,11.0,8,#N/A,#N/A,#N/A
non,a negative,8,,8,#N/A,#N/A,#N/A
non,not,8,,8,#N/A,#N/A,#N/A
non compos mentis,mentally unsound,14,,16,#N/A,#N/A,#N/A
non sequitur,it does not follow,13,,13,#N/A,#N/A,#N/A
non troppo,not too much,13,,13,#N/A,#N/A,#N/A
nonage,period of immaturity,13,,13,#N/A,#N/A,#N/A
nonagenarian,in his 90's,14,16.2,16,#N/A,#N/A,#N/A
nonce,the present time,13,14.2,13,#N/A,#N/A,#N/A
nonce word,coined for a single occasion,13,,13,#N/A,#N/A,#N/A
nonchalance,indifference,12,12.3,12,#N/A,#N/A,#N/A
nonchalant,seemingly indifferent,10,12.2,10,#N/A,#N/A,5
noncom,sergeant or corporal,12,13.8,12,#N/A,#N/A,#N/A
noncombatant,not a fighter,8,13.6,8,#N/A,#N/A,#N/A
noncommissioned,not an officer,10,14.3,10,#N/A,#N/A,#N/A
noncommissioned officer,"coporal, sergeant",10,,10,#N/A,#N/A,#N/A
noncommittal,won't say yes or no,12,15.0,12,#N/A,#N/A,#N/A
nonconductor,won't carry electricity,8,,8,#N/A,#N/A,#N/A
nonconductor,insulator,12,,12,#N/A,#N/A,#N/A
nonconformist,rebels against society,12,14.6,12,#N/A,#N/A,#N/A
nondescript,odd looking,14,12.2,16,#N/A,#N/A,#N/A
none,not any,2,5.0,4,#N/A,#N/A,#N/A
none,nobody,6,5.0,6,#N/A,#N/A,#N/A
none other than,nobody else but,4,,4,#N/A,#N/A,#N/A
none whatever,none at all,6,,6,#N/A,#N/A,#N/A
nonentity,doesn't exist,13,13.0,13,#N/A,#N/A,#N/A
nonentity,unimportant person,14,13.0,16,#N/A,#N/A,#N/A
nonessential,not needed,8,12.5,8,#N/A,#N/A,#N/A
nonesuch,unequaled person,8,11.9,8,#N/A,#N/A,#N/A
nonetheless,nevertheless,10,,10,#N/A,#N/A,#N/A
nonexistent,imaginary,10,11.0,10,#N/A,#N/A,#N/A
nonintervention,avoiding others' disputes,12,12.6,12,#N/A,#N/A,#N/A
nonliving,not alive,4,,4,#N/A,#N/A,#N/A
nonny,a word used in songs,12,,12,#N/A,#N/A,#N/A
nonobjective,abstract,12,,12,#N/A,#N/A,#N/A
nonpareil,without equal,13,14.7,13,#N/A,#N/A,#N/A
nonpartisan,not party controlled,10,15.4,10,#N/A,#N/A,#N/A
nonplus,to puzzle,14,,16,#N/A,#N/A,#N/A
nonplused,puzzled,12,,12,#N/A,#N/A,#N/A
nonprofit,without extra gain,8,12.0,8,#N/A,#N/A,#N/A
nonresident,lives elsewhere,2,,4,#N/A,#N/A,#N/A
nonrestrictive,not limiting meaning of noun,12,,12,#N/A,#N/A,#N/A
nonsectarian,not denominational,12,17.2,12,#N/A,#N/A,#N/A
nonsegregated,not separate,10,,10,#N/A,#N/A,#N/A
nonsense,foolishness,4,6.9,4,#N/A,#N/A,#N/A
nonsensical,silly,8,12.3,8,#N/A,#N/A,#N/A
nonstop,without a stop,4,,4,#N/A,#N/A,#N/A
nonsuit,legal judgment,13,,13,#N/A,#N/A,#N/A
nontoxic,not poisonous,10,10.6,10,#N/A,#N/A,#N/A
noodle,food,2,4.0,4,#N/A,#N/A,#N/A
noodle,the head,8,4.0,8,#N/A,#N/A,#N/A
noodle-head,stupid person,6,,6,#N/A,#N/A,#N/A
noodles,,2,4.0,#N/A,22,#N/A,#N/A
nook,cozy corner,8,9.6,8,#N/A,#N/A,#N/A
noon,12 o'clock daytime,2,6.4,4,#N/A,#N/A,#N/A
noon,kind of light,8,6.4,8,#N/A,#N/A,#N/A
noon,an inert gas,12,6.4,12,#N/A,#N/A,#N/A
noonday,12 o'clock daytime,2,9.0,4,#N/A,#N/A,#N/A
noontide,middle of day,14,12.8,16,#N/A,#N/A,#N/A
noose,loop of rope,6,9.2,6,#N/A,#N/A,#N/A
nope,no,4,,4,#N/A,#N/A,#N/A
nor,"or not, neither",8,8.5,8,#N/A,#N/A,#N/A
nor,and not,8,8.5,8,#N/A,#N/A,#N/A
nor,used with neither,8,8.5,8,#N/A,#N/A,#N/A
norm,a standard,14,10.5,16,#N/A,#N/A,#N/A
normal,ordinary,2,6.6,4,#N/A,#N/A,#N/A
normal body temperature,98.6 degrees F.,6,,6,#N/A,#N/A,#N/A
normal school,trains teachers,14,,16,#N/A,#N/A,#N/A
normally,in the usual way,4,7.8,4,#N/A,#N/A,#N/A
Norse,Scandinavian,10,,10,#N/A,#N/A,#N/A
north,toward the upper pole,4,6.7,4,#N/A,#N/A,#N/A
northeast,between north and east,2,7.5,4,#N/A,#N/A,#N/A
northeaster,violent storm,10,12.9,10,#N/A,#N/A,#N/A
northerly,toward north,2,10.7,4,#N/A,#N/A,#N/A
northerly,coming from the north,10,10.7,10,#N/A,#N/A,#N/A
northern,to the north,2,8.0,4,#N/A,#N/A,#N/A
northern lights,colored lights in northern sky,8,,8,#N/A,#N/A,#N/A
northerner,lives in the north,2,9.1,4,#N/A,#N/A,#N/A
northernmost,the farthest north,2,10.2,4,#N/A,#N/A,#N/A
northward,toward the north,2,,4,#N/A,#N/A,#N/A
northwest,between north and west,2,8.2,4,#N/A,#N/A,#N/A
northwester,a storm,10,,10,#N/A,#N/A,#N/A
nose,the smeller,2,3.5,4,16,56.5,#N/A
nose,narrow part of air plane,4,3.5,4,16,56.5,#N/A
nose,to pry,10,3.5,10,16,56.5,#N/A
nose along,to go ahead carefully,10,,10,#N/A,#N/A,#N/A
nose cone,front piece of a rocket,4,,4,#N/A,#N/A,#N/A
nose dive,drop suddenly,4,,4,#N/A,#N/A,#N/A
nosebleed,blood from the nose,2,5.3,4,#N/A,#N/A,#N/A
nosegay,bunch of flowers,13,16.8,13,#N/A,#N/A,#N/A
no-show,doesn't use ticket,12,,12,#N/A,#N/A,#N/A
nostalgia,homesickness,13,13.2,13,#N/A,#N/A,#N/A
noster,our,13,,13,#N/A,#N/A,#N/A
nostril,opening in nose,4,7.0,4,#N/A,#N/A,#N/A
nostrum,fake remedy,14,,16,#N/A,#N/A,#N/A
nosy,minds others' business,4,5.5,4,#N/A,#N/A,#N/A
not,meaning no,2,4.0,4,27,#N/A,#N/A
not,the opposite,12,4.0,12,27,#N/A,#N/A
not a little,very much,12,,12,#N/A,#N/A,#N/A
not a stitch,not a small bit,14,,16,#N/A,#N/A,#N/A
not above,would,10,,10,#N/A,#N/A,#N/A
not above,is willing to,12,,12,#N/A,#N/A,#N/A
not all there,crazy,12,,12,#N/A,#N/A,#N/A
not even ($ 10),less than ($ 10),4,,4,#N/A,#N/A,#N/A
not give a hoot,not care,6,,6,#N/A,#N/A,#N/A
not quite,almost,4,,4,#N/A,#N/A,#N/A
not quite time,almost time,6,,6,#N/A,#N/A,#N/A
not simply,not only,12,,12,#N/A,#N/A,#N/A
not so bad,rather good,4,,4,#N/A,#N/A,#N/A
not so big as,smaller than,10,,10,#N/A,#N/A,#N/A
not this,that,4,,4,#N/A,#N/A,#N/A
not very,"a little, not much",8,,8,#N/A,#N/A,#N/A
not yet,"not now, later",2,,4,#N/A,#N/A,#N/A
notable,outstanding,8,10.4,8,#N/A,#N/A,#N/A
notable,famous person,8,10.4,8,#N/A,#N/A,#N/A
notably,strikingly,12,,12,#N/A,#N/A,#N/A
notarize,to certify a contract,12,14.1,12,#N/A,#N/A,#N/A
notary public,a witness to signature,10,,10,#N/A,#N/A,#N/A
notation,system of signs,10,12.8,10,#N/A,#N/A,#N/A
notation,written reminder,10,12.8,10,#N/A,#N/A,#N/A
notch,a v-shaped cut,6,9.2,6,#N/A,#N/A,#N/A
notch,nick,8,9.2,8,#N/A,#N/A,#N/A
note,short letter,2,6.1,4,#N/A,#N/A,0
note,piano key,4,6.1,4,#N/A,#N/A,0
note,music sound,4,6.1,4,#N/A,#N/A,0
note,to observe,4,6.1,4,#N/A,#N/A,0
note,an I.O.U.,6,6.1,6,#N/A,#N/A,0
note,to mention,6,6.1,6,#N/A,#N/A,0
note,jot down,6,6.1,6,#N/A,#N/A,0
note,point out,8,6.1,8,#N/A,#N/A,0
note,explanatory remark,8,6.1,8,#N/A,#N/A,0
note,diplomatic message,10,6.1,10,#N/A,#N/A,0
note, mark or token,10,6.1,10,#N/A,#N/A,0
note,paper money,10,6.1,10,#N/A,#N/A,0
note,set down in music,12,6.1,12,#N/A,#N/A,0
note,write down music,13,6.1,13,#N/A,#N/A,0
note bene,note well,14,,16,#N/A,#N/A,#N/A
notebook,student record book,6,6.4,6,#N/A,#N/A,#N/A
noted, famous,6,6.1,6,#N/A,#N/A,#N/A
noted,said or wrote down,8,6.1,8,#N/A,#N/A,#N/A
noteworthy,remarkable,10,9.9,10,#N/A,#N/A,7
nothing,not a thing,2,5.3,4,#N/A,#N/A,#N/A
nothing,not at all,4,5.3,4,#N/A,#N/A,#N/A
nothing,zero,6,5.3,6,#N/A,#N/A,#N/A
nothing,worthless thing,6,5.3,6,#N/A,#N/A,#N/A
nothing but (trouble),only (trouble),2,,4,#N/A,#N/A,#N/A
nothingness,nonexistence,10,10.9,10,#N/A,#N/A,#N/A
notice,see and remember,2,7.3,4,#N/A,#N/A,#N/A
notice,a warning,4,7.3,4,#N/A,#N/A,#N/A
notice,an announcement,6,7.3,6,#N/A,#N/A,#N/A
noticeable,can be seen easily,4,8.1,4,#N/A,#N/A,#N/A
notification,a notice given,6,9.4,6,#N/A,#N/A,#N/A
notify,let know,6,9.9,6,#N/A,#N/A,7
notion,a belief,6,10.8,6,#N/A,#N/A,#N/A
notion,an idea,6,10.8,6,#N/A,#N/A,#N/A
notion,small article,12,10.8,12,#N/A,#N/A,#N/A
notional,very personal in opinion,12,,12,#N/A,#N/A,#N/A
notoriety,unfavorable fame,10,13.8,10,#N/A,#N/A,#N/A
notoriety,bad publicity,14,13.8,16,#N/A,#N/A,#N/A
notorious,of bad reputation,8,11.5,8,#N/A,#N/A,7
notorious,widely known,10,11.5,10,#N/A,#N/A,7
notwithstanding,yet,12,,12,#N/A,#N/A,#N/A
notwithstanding,anyway,12,,12,#N/A,#N/A,#N/A
notwithstanding,nevertheless,13,,13,#N/A,#N/A,#N/A
notwithstanding,in spite of,13,,13,#N/A,#N/A,#N/A
nougat,a nut candy,13,9.1,13,#N/A,#N/A,#N/A
nought,nothing,8,12.4,8,#N/A,#N/A,#N/A
nought,a zero,12,12.4,12,#N/A,#N/A,#N/A
noumenon,an object of the mind,14,,16,#N/A,#N/A,#N/A
noun,name of a thing,4,7.5,4,#N/A,#N/A,#N/A
noun,part of speech,6,7.5,6,#N/A,#N/A,#N/A
nourish, feed,6,9.6,6,#N/A,#N/A,#N/A
nourish,to help grow,6,9.6,6,#N/A,#N/A,#N/A
nourishment,food,6,9.9,6,#N/A,#N/A,#N/A
nouveau,new,13,15.0,13,#N/A,#N/A,#N/A
nouveau riche,newly rich,12,,12,#N/A,#N/A,#N/A
nova,temporarily bright star,13,,13,#N/A,#N/A,#N/A
novel,story,6,9.1,6,#N/A,#N/A,#N/A
novel,new,12,9.1,12,#N/A,#N/A,#N/A
novelette,a short tale,6,13.7,6,#N/A,#N/A,#N/A
novelist,story writer,6,10.3,6,#N/A,#N/A,#N/A
novella,a short prose work,14,14.7,16,#N/A,#N/A,#N/A
novelty,an unusual object,8,11.7,8,#N/A,#N/A,#N/A
novelty,something new,8,11.7,8,#N/A,#N/A,#N/A
November,month of the year,2,,4,#N/A,#N/A,#N/A
novena,a Catholic service,14,12.4,16,#N/A,#N/A,#N/A
novice,beginner,12,11.3,12,#N/A,#N/A,#N/A
novitiate,time as beginner,12,16.4,12,#N/A,#N/A,#N/A
novocaine,an anesthetic,8,,8,#N/A,#N/A,#N/A
novus ordo seclorum,a new order of the ages,14,,16,#N/A,#N/A,#N/A
now,at this time,2,4.0,4,23,#N/A,#N/A
now and then,now and again,4,,4,#N/A,#N/A,#N/A
now that,since,8,,8,#N/A,#N/A,#N/A
"now, now!",a warning,8,,8,#N/A,#N/A,#N/A
nowadays,at this time,6,,6,#N/A,#N/A,#N/A
noway,can't be done,8,,8,#N/A,#N/A,#N/A
noways,not at all,12,,12,#N/A,#N/A,#N/A
nowhere,in no place,4,6.4,4,#N/A,#N/A,#N/A
nowise, not at all,12,,12,#N/A,#N/A,#N/A
nowise,in no way,12,,12,#N/A,#N/A,#N/A
noxious,harmful,13,12.7,13,#N/A,#N/A,#N/A
nozzle,tip of water hose,4,8.7,4,#N/A,#N/A,#N/A
nth,highest,14,,16,#N/A,#N/A,#N/A
nu,a Greek letter,12,14.0,12,#N/A,#N/A,#N/A
nuance,a shade of meaning,14,11.1,16,#N/A,#N/A,#N/A
nubbin,small lump,12,15.2,12,#N/A,#N/A,#N/A
nubbin,poorly developed ear of corn,12,15.2,12,#N/A,#N/A,#N/A
nubbly,lumpy,12,,12,#N/A,#N/A,#N/A
nubile,of marriageable age,14,17.4,16,#N/A,#N/A,#N/A
nuclear,atomic,8,11.3,8,#N/A,#N/A,#N/A
nuclear,central,8,11.3,8,#N/A,#N/A,#N/A
nuclear,at the core or center,10,11.3,10,#N/A,#N/A,#N/A
nuclear fission,splitting of atom,10,,10,#N/A,#N/A,#N/A
nuclear fusion,combining of atoms,12,,12,#N/A,#N/A,#N/A
nucleolus,part of cell nucleus,14,,16,#N/A,#N/A,#N/A
nucleus,core of an atom,8,12.2,8,#N/A,#N/A,#N/A
nucleus,central source,10,12.2,10,#N/A,#N/A,#N/A
nude,unclothed,6,8.3,6,#N/A,#N/A,#N/A
nudge,push slightly,6,9.7,6,#N/A,#N/A,#N/A
nudist,goes naked,6,10.9,6,#N/A,#N/A,#N/A
nudnik,a pest,12,12.7,12,#N/A,#N/A,#N/A
nugatory,worthless,14,,16,#N/A,#N/A,#N/A
nugget,lump of gold,4,7.5,4,#N/A,#N/A,#N/A
nugget,anything valuable,6,7.5,6,#N/A,#N/A,#N/A
nuisance,that which annoys,6,10.0,6,#N/A,#N/A,#N/A
null,of no legal force,13,11.6,13,#N/A,#N/A,#N/A
null,zero,13,11.6,13,#N/A,#N/A,#N/A
null,of no force,14,11.6,16,#N/A,#N/A,#N/A
null and void,without legal force,10,,10,#N/A,#N/A,#N/A
nullification,cancelling,10,15.4,10,#N/A,#N/A,#N/A
nullify,make useless,13,14.4,13,#N/A,#N/A,#N/A
nullity,futility,13,,13,#N/A,#N/A,#N/A
numb,no feeling,6,8.4,6,#N/A,#N/A,#N/A
number,to count,2,4.1,4,#N/A,#N/A,#N/A
number,a piece of music,2,4.1,4,#N/A,#N/A,#N/A
number,how many ,2,4.1,4,#N/A,#N/A,#N/A
number,the total,2,4.1,4,#N/A,#N/A,#N/A
number,"1, 2, 3, etc.",2,4.1,4,#N/A,#N/A,#N/A
number,mark with figures,6,4.1,6,#N/A,#N/A,#N/A
number,quite a few,6,4.1,6,#N/A,#N/A,#N/A
number,issue of magazine,12,4.1,12,#N/A,#N/A,#N/A
number,singular or plural,12,4.1,12,#N/A,#N/A,#N/A
number among,to include,12,,12,#N/A,#N/A,#N/A
numberless,too many to count,8,,8,#N/A,#N/A,#N/A
numbers,many,2,4.1,4,#N/A,#N/A,#N/A
numbness,no feeling,6,9.6,6,#N/A,#N/A,#N/A
numbskull,stupid person,2,7.8,4,#N/A,#N/A,#N/A
numeracy,skill in mathematics,13,,13,#N/A,#N/A,#N/A
numeral,symbol for a number,6,8.3,6,#N/A,#N/A,#N/A
numeral,number,8,8.3,8,#N/A,#N/A,#N/A
numerate,to count,8,,8,#N/A,#N/A,#N/A
numerator,"in 1/2, 1 is a numerator",10,10.6,10,#N/A,#N/A,#N/A
numerical,in numbers,6,8.7,6,#N/A,#N/A,#N/A
numerology,number magic,12,13.0,12,#N/A,#N/A,#N/A
numerous,a great many,6,8.8,6,#N/A,#N/A,5
numismatics,science of coins,14,15.2,16,#N/A,#N/A,#N/A
numskull,a dunce,4,7.8,4,#N/A,#N/A,#N/A
nun,a Catholic sister,6,,6,#N/A,102.5,#N/A
nunc,now,13,,13,#N/A,#N/A,#N/A
nuncio,a papal diplomat,14,,16,#N/A,#N/A,#N/A
nunnery,convent,12,13.9,12,#N/A,#N/A,#N/A
nuptial,wedding,13,13.7,13,#N/A,#N/A,#N/A
nurse,takes care of,2,5.6,4,#N/A,50.5,#N/A
nurse,takes care of sick people,2,5.6,4,#N/A,50.5,#N/A
nurse,feed at breast,8,5.6,8,#N/A,50.5,#N/A
nurse,help to grow,13,5.6,13,#N/A,50.5,#N/A
nursemaid,cares for children,8,9.8,8,#N/A,#N/A,#N/A
nursery,room for babies,2,6.5,4,#N/A,#N/A,3
nursery,grows trees,6,6.5,6,#N/A,#N/A,3
nursery rhyme,a poem for children,2,,4,#N/A,#N/A,#N/A
nursery school,school for little kids,2,,4,#N/A,#N/A,#N/A
nurseryman,grows trees and plants,6,,6,#N/A,#N/A,#N/A
nursling,infant,8,14.1,8,#N/A,#N/A,#N/A
nurture,to bring up,12,10.5,12,#N/A,#N/A,7
nurture,to care for,12,10.5,12,#N/A,#N/A,7
nurture,to feed,12,10.5,12,#N/A,#N/A,7
nut,silly person,2,4.8,4,#N/A,114.5,#N/A
nut,hard-shelled food,2,4.8,4,#N/A,114.5,#N/A
nut,fits on bolt,10,4.8,10,#N/A,114.5,#N/A
nut,hard problem,12,4.8,12,#N/A,114.5,#N/A
nut-brown,a shade of brown,6,,6,#N/A,#N/A,#N/A
nutcracker,cracks nuts,2,7.2,4,#N/A,#N/A,#N/A
nutcracker,crow-like bird,14,7.2,16,#N/A,#N/A,#N/A
nuthatch,a bird,13,11.5,13,#N/A,#N/A,#N/A
nutmeat,the inside of a nut,8,,8,#N/A,#N/A,#N/A
nutmeg,spice,6,9.8,6,#N/A,#N/A,#N/A
nutria,animal fur,14,,16,#N/A,#N/A,#N/A
nutrient,nourishing,8,11.2,8,#N/A,#N/A,#N/A
nutrient,something  which nourishes,12,11.2,12,#N/A,#N/A,#N/A
nutriment,food,10,,10,#N/A,#N/A,#N/A
nutrition,food,8,9.7,8,#N/A,#N/A,#N/A
nutritious,valuable as food,10,8.9,10,#N/A,#N/A,#N/A
nutritive,promotes growth,12,12.3,12,#N/A,#N/A,#N/A
nuts,it's crazy,2,4.8,4,26,#N/A,#N/A
nuts!,said when angry,2,,4,#N/A,#N/A,#N/A
nutshell,covers nuts,2,6.7,4,#N/A,#N/A,#N/A
nutshell,in a few words,6,6.7,6,#N/A,#N/A,#N/A
nuttier,crazier,4,7.5,4,#N/A,#N/A,#N/A
nutting,gathering nuts,6,,6,#N/A,#N/A,#N/A
nutty,crazy,2,7.5,4,#N/A,#N/A,#N/A
nuzzle,rub with nose,13,11.4,13,#N/A,#N/A,#N/A
nyet,Russian for no,13,,13,#N/A,#N/A,#N/A
nylon,silklike cloth,2,10.0,4,#N/A,#N/A,#N/A
nylon,man-made fiber,2,10.0,4,#N/A,#N/A,#N/A
nylons,stockings,4,10.0,4,#N/A,#N/A,#N/A
nymph,beautiful maiden,12,11.6,12,#N/A,#N/A,#N/A
nymph,an imaginary woman,12,11.6,12,#N/A,#N/A,#N/A
nymph,a goddess of nature,12,11.6,12,#N/A,#N/A,#N/A
nymph,young insect,13,11.6,13,#N/A,#N/A,#N/A
nystagmus,an eye disorder,14,,16,#N/A,#N/A,#N/A
O.K.,all right,2,,4,#N/A,#N/A,#N/A
oaf,awkward person,10,11.3,10,#N/A,#N/A,#N/A
oak,a hardwood,2,6.9,4,#N/A,#N/A,#N/A
oak,an acorn tree,4,6.9,4,#N/A,#N/A,#N/A
oaken,made of oak,6,11.9,6,#N/A,#N/A,#N/A
oakum,fiber filling,13,11.7,13,#N/A,#N/A,#N/A
oar,boat paddle,2,6.8,4,#N/A,#N/A,#N/A
oarlock,place for oars,4,,4,#N/A,#N/A,#N/A
oarsman,rows boat,6,13.7,6,#N/A,#N/A,#N/A
oases,fertile spots in desert,6,,6,#N/A,#N/A,#N/A
oasis,fertile spot in desert,6,9.1,6,#N/A,#N/A,5
oaten,made of oats,6,,6,#N/A,#N/A,#N/A
oater,western movie,14,,16,#N/A,#N/A,#N/A
oath,a solemn promise,4,9.5,4,#N/A,#N/A,#N/A
oatmeal,a cereal,2,4.5,4,#N/A,#N/A,#N/A
oats,grain,2,6.3,4,#N/A,#N/A,#N/A
obbligato,musical accompaniment,13,14.3,13,#N/A,#N/A,#N/A
obbligato,a solo passage in music,14,14.3,16,#N/A,#N/A,#N/A
obdurate,obstinate,14,15.1,16,#N/A,#N/A,#N/A
obdurate,stubborn,14,15.1,16,#N/A,#N/A,#N/A
obedience,pay attention to,4,7.7,4,#N/A,#N/A,#N/A
obedience,following orders,6,7.7,6,#N/A,#N/A,#N/A
obedient,doing as you're told,4,8.5,4,#N/A,#N/A,#N/A
obeisance,respectful bow,14,14.5,16,#N/A,#N/A,#N/A
obelisk,a printer's mark,12,13.7,12,#N/A,#N/A,#N/A
obelisk,tall stone shaft,12,13.7,12,#N/A,#N/A,#N/A
obese,very fat,13,9.4,13,#N/A,#N/A,#N/A
obesity,fatness,12,11.4,12,#N/A,#N/A,#N/A
obey,do as told,2,6.0,4,#N/A,#N/A,1
obfuscate,to confuse,14,16.9,16,#N/A,#N/A,#N/A
obi,Japanese sash,13,,13,#N/A,#N/A,#N/A
obit,death notice,14,10.0,16,#N/A,#N/A,#N/A
obiter,"by the way, incidentally",14,,16,#N/A,#N/A,#N/A
obiter dicta,casual remarks,13,,13,#N/A,#N/A,#N/A
obituary,death notice,8,9.4,8,#N/A,#N/A,#N/A
object,a thing,2,7.2,4,#N/A,#N/A,#N/A
object,give reason against,6,7.2,6,#N/A,#N/A,#N/A
object,gets action of verb,8,7.2,8,#N/A,#N/A,#N/A
object,the thing studied,10,7.2,10,#N/A,#N/A,#N/A
object,purpose,12,7.2,12,#N/A,#N/A,#N/A
objection,being against,4,9.7,4,#N/A,#N/A,#N/A
objectionable,disagreeable,4,11.2,4,#N/A,#N/A,#N/A
objective,goal,12,12.7,12,#N/A,#N/A,6
objective,a grammar case,12,12.7,12,#N/A,#N/A,6
objective,microscope lens,13,12.7,13,#N/A,#N/A,6
objective,led by facts,13,12.7,13,#N/A,#N/A,6
objet d'art,small object of artistic value,12,,12,#N/A,#N/A,#N/A
objurgation,severe reroach,14,,16,#N/A,#N/A,#N/A
oblate,flattened at poles,13,14.5,13,#N/A,#N/A,#N/A
oblation,religious offering,13,,13,#N/A,#N/A,#N/A
obligate,to require,6,11.7,6,#N/A,#N/A,#N/A
obligation,personal duty,8,11.0,8,#N/A,#N/A,#N/A
obligatory,required,12,12.2,12,#N/A,#N/A,#N/A
oblige,do a favor,6,11.5,6,#N/A,#N/A,#N/A
oblige,to require by duty,12,11.5,12,#N/A,#N/A,#N/A
obliged, forced,12,11.5,12,#N/A,#N/A,#N/A
obliging,helpful,8,14.5,8,#N/A,#N/A,#N/A
oblique,slanting,12,12.9,12,#N/A,#N/A,#N/A
oblique,roundabout,14,12.9,16,#N/A,#N/A,#N/A
obliquity,mental perversity,13,14.5,13,#N/A,#N/A,#N/A
obliterate,blot out,12,12.7,12,#N/A,#N/A,#N/A
oblivion,forgetfulness,13,11.7,13,#N/A,#N/A,#N/A
oblivious,unaware,12,12.6,12,#N/A,#N/A,#N/A
oblong, longer than wide,6,10.4,6,#N/A,#N/A,#N/A
obloquy,defamatory language,14,16.3,16,#N/A,#N/A,#N/A
obnoxious,hateful,14,8.0,16,#N/A,#N/A,7
oboe,musical instrument,6,10.8,6,#N/A,#N/A,#N/A
obscene,indecent,12,11.5,12,#N/A,#N/A,#N/A
obscure,not well known,12,11.6,12,#N/A,#N/A,#N/A
obscure,not clear,12,11.6,12,#N/A,#N/A,#N/A
obscure,to conceal,12,11.6,12,#N/A,#N/A,#N/A
obscurity,unclearness,12,12.1,12,#N/A,#N/A,#N/A
obsequies,funeral rites,14,,16,#N/A,#N/A,#N/A
obsequious,too respectful,13,15.1,13,#N/A,#N/A,#N/A
observable,can be seen,6,10.6,6,#N/A,#N/A,#N/A
observance,customary celebration,12,9.5,12,#N/A,#N/A,#N/A
observance,a practice,12,9.5,12,#N/A,#N/A,#N/A
observant,notices things,6,9.3,6,#N/A,#N/A,#N/A
observation,something seen,6,10.0,6,#N/A,#N/A,#N/A
observation,watching,6,10.0,6,#N/A,#N/A,#N/A
observation,a remark,12,10.0,12,#N/A,#N/A,#N/A
observatory,place to study stars,6,9.1,6,#N/A,#N/A,#N/A
observe,to follow,6,9.3,6,#N/A,#N/A,3
observe,to watch,6,9.3,6,#N/A,#N/A,3
